metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_receiving,1753796327,0.195000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_failed,1753796327,0.000000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_reqs,1753796327,1.000000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_duration,1753796327,150.166000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_blocked,1753796327,0.001000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_connecting,1753796327,0.000000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_tls_handshaking,1753796327,0.000000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_sending,1753796327,0.372000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_waiting,1753796327,149.662000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_receiving,1753796327,0.132000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
http_req_failed,1753796327,0.000000,,,,true,::requisição por id,GET,https://quickpizza.grafana.com,HTTP/2.0,default,,200,,tls1.3,https://quickpizza.grafana.com,,
checks,1753796327,1.000000,status code 200 get id,,,,::requisição por id,,,,default,,,,,,,
checks,1753796327,1.000000,status code 200 get id,,,,::requisição por id,,,,default,,,,,,,
group_duration,1753796327,158.551625,,,,,::requisição por id,,,,default,,,,,,,
group_duration,1753796327,157.146917,,,,,::requisição por id,,,,default,,,,,,,
data_sent,1753796327,1475.000000,,,,,,,,,default,,,,,,,
data_received,1753796327,15301.000000,,,,,,,,,default,,,,,,,
iteration_duration,1753796327,676.368375,,,,,,,,,default,,,,,,,
iterations,1753796327,1.000000,,,,,,,,,default,,,,,,,
